input,output
first decision “branches” into two possibilities, each of which is another decision
explosion should we try this design with more than three values. As a challenge, you might see if 
This code uses a decision nested inside of a loop to get the job done. On each iteration of the loop, 
Unding out if the problem has already been solved for you. As you are learning to program, 
designing from scratch is great experience. Truly expert programmers, however
• Decisions are based on the evaluation of conditions, which are simple Boolean expressions. A 
8. A structure in which one decision leads to another set of decisions, which leads to another set 
of decisions, etc.
Instead of working around this problem with a decision structure, another approach would 
differing skill levels. Since there would not be any mental aspects involved, the Simulation would 
Now that we are getting some experience with the top-down design technique, we are ready to 
to apply them. That you have to learn for yourself through experience. In design, as in almost 
amtNeeded = computeAmount(length,width) 
velocity changes over time due to the influence of gravity. In fact, the y velocity will Start out being 
as consisting of some amount of change in y and some amount of change in x, then these three 
y-velocity to change over time. Each second, yvel must decrease by 9.8 meters per second
cball = Projectile(angle, vel
suitable Projectile dass that implements the methods update, getX
Before designing a Projectile dass, let’s take an even simpler example to examine the basic ideas. 
projectile, and getX and getY methods so that we can find the current position. 
cball = Projectile(angle, vel
»> c = Projectile(60, 50
has changed. As you begin to design classes of your own, you should strive to provide each with a 
If you are testing multi-module Python projects interactively (a good thing to do), you need 
Hints: You can change the color by changing the value of the instance variable f oreground, 
This decision ensures that the first time a word is encountered, it will be entered into the dictionary 
to change a player’s score. This again requires the player to do something, namely increment the 
Enter list of which to change ([] to stop) [0,4] 
to change the color that is used for drawing the pips. As you can see in the code for setValue, 
designs. I did not document every single decision, false Start
your own decisions and discovering your own mistakes, not by reading about mine. 
implementation can change, but as long as the interface is preserved
on the object will not break. Encapsulation allows us to isolate major design decisions, especially 
and the study of Computer Science. Now that you have some programming skills, you are ready to 
Professional. It’s now six years later, and you are a well-established Software developer. One day
your boss comes to you with an important new project, and you are supposed to drop everything 
productivity. You’ve recently hired a number of rather inexperienced programmers, and debugging 
skills in the world will not answer. Design can show that problems are solvable, but it can never 
decision tree, 182 
quadratic equation three-way decision, 174 
Projectile dass, 257 
change.py, 45 
change2.py, 123 
Projectile, 257 
Projectile as module file, 264 
decision, 165 
decision, 165 
decision tree, 182 
representation, 125 
representation, 56 
max-of-three decision tree, 183 
nested decisions, 175 
two-way decision, 173 
decision tree, 182 
representation, 55 
one-way decision, 168 
change counter, 45
algorithm with three-way decision, 174 
decision flowchart, 173 
program (two-way decision), 173 
simple decision, 168 
representation, 107 
to your specific inquiries if you are just learning what kind of animals C, C+ +
Each time you make a change to your software program: check it, build it and test it. 
If you feel that a part of the software program is excessively unorganized, regroup and 
new skills. A PhD isn't always necessary to become a skilled programmer, but discipline and 
When a series of decision is required, nested if-else is used. Nesting means using one if-else 
There will be no change in the output on the screen i.e., the output on the screen is: 
Then there will be no change in the output on the screen 1.e., the output on the screen is: 
switch(ch) allow us to make decision from the number of choices i.e., from the number of 
There will be no change in the output on the screen i.e., The output on the screen is: 
There will be no change in the output on the screen i.e., The output on the screen is: 
Switch (case) allows us to make decision from the number of choices i.e., from the 
How does Machine learning Work? The higher the number of options presented to users, the longer it 
e Unsupervised Learning Gilder's Law: Every twelve months, the total 
more toward DevOps type skills, a Linux skill set will be the types of things that will make you 
at which point to fly learning them, especially when you are learner. If you are facing this 
In the case of a failure, a system that automatically switches to a safer 
e Front End — The representation part, what user sees 
Two of these algorithms accomplish exactly the same goal, but each algorithm does it in completely 
algorithms go bad: Online failures show humans are still needed. Disturbing events at Facebook, 
structures and organized things well, the 
The Most Significant Failures When Al Turned Rogue, Causing Disastrous Results 
including learning (the acquisition of information for using the data), reasoning (using rules to reach 
The Most Significant Failures When Al Turned Rogue, Causing Disastrous Results: used to construct any sentence 
While these are only a few instances of failures that have been observed so far, they are pieces of 
servant leadership, organizational change management
experienced in the recent times, one is undoubtedly the adoption of DevOps practices — and 
combination of IT teams, process and products to enable the continuous delivery of value to end 
better collaboration, and tighter integration and aims to create a culture and environment where 
e Less complexity to manage organize, analyze and transform raw data into useful 
e Communications system: The constant exchange of information is important so email, 
project, an automated system being developed to allow developers to write 
DevOps practitioners are among the highest paid IT professionals today, and the market demand 
mentions of DevOps as a skill increased 50 percent. In a recent survey by Puppetlabs, half of 
that we started to use just for the communication purpose (i.e. for talking and messaging), 
Application and provides access to non-code resources such as localized strings, 
The telecommunications companies such as idea, Vodafone
allows to make decision from the number of choices i.e., from the 
(Simultaneous learning, test design and test execution ) 
decisions that must be made quickly, including those needed by 
to code. The software is tested immediately after each change is made. With each change, code is 
Assist the software team to detect application performance issues, identify their cause and implement a 
The PHP Development Team, Zend Technologies 
stress, errors
int main() { meet specific goals like becoming effective, efficient
communication, including forwarding requests 
‘ Composable infrastructure: Resources for storing, computin 
int main() { resources over at least 2 clouds from various vendors, either public or private 
networking, storage and computation systems 
networking, storage and computation systems 
In reinforcement learning, an agent is the active component 
"printf( ""%c is a character with graphical representation.", a ); 
"printf( ""%c is NOT a character with graphical representation.", a ); 
The deep learning architecture for image classification, 
In networking, Latency is the time it takes for data 
managing his own online project. But over time, PHP 
Machine learning is driven by creativity; when computer programs are used, 
break; the failure occurs, the quickly the learning begins 
} e Low bias machine learning algorithms include: Decision Trees, k-nearest neighbors
change itself, making antimalware solutions difficult to detect it 
Allows business decision makers to evaluate, detect patterns in and act on gathered data in order to generate 
Display: A visual presentation of information Display station, Ardevice witha 
used for testing of a software application in a of the testing goals, 
problems - permits an individual to make a decision, come to a sensible 
One to Many Relationship When a single row in table A is linked to many rows in table B, this type of relationship is used 
An approach for unsupervised machine learning that scans a collection of documents, 
customer needs and nurturing long-lasting and fruitful customer relationships, SAP is a German 
"variable ""x™ and the dependent variable “y™ in statistics. In Machine Learning", a Linear 
Python Machine learning, Artificial Intelligence
Decision Aid: A software that facilitates decision-making by individuals, especially for 
e E-Infrastructure: A system that brings together communications, computation
relationships and consumer interests in order to develop appropriate, unique offers 
Linux Basics for Hackers: Getting Started with Networking, Scripting
Learn C++ Quickly: A Complete Beginner's Guide to Learning C++, Even If You're New to 
Machine Learning, Finance
JavaScript from Beginner to Professional: Learn JavaScript Quickly by Building Fun, 
Learn JavaScript Quickly: A Complete Beginner's Guide to Learning JavaScript, Even If 
e Learning PHP, MySQL
Learning PHP, MySQL & JavaScript: With JQuery
Usage Changes, and Advanced Programming Techniques 
Linux Basics for Hackers: Getting Started with Networking, Scripting
no prior (JavaScript) programming experience, don’t worry. This book teaches you all you need to 
a game production team, the various testing phases of a game
is that the memory is changed. Especially with my very broad definition of memory, every 
change the computer’s memory. As such, they’re well suited to the processor-memory model 
were created by teams rather than individuals. It was important that the game code be readable, 
the programmers to adapt the game program to the differing hardware. For PC games, this effect 
games. The goal of this book is to teach you how to program games; but you won’t use an engine, 
the outer one encompasses the inner one. When people are first learning to program, they typically 
making modifications. Professional programmers, by contrast
programming paradigm organizes instructions in methods, and methods in classes? In the 
to change the layout of the various parts of an HTML document, or you might want to use a different 
You can change different aspects of the style by using a style attribute as in the example. For example, 
various examples such as a simple application that changes the background color. Finally, I talk 
Players never see the internal representation of the game world, but game developers do. When you 
representation. In addition, the game needs to show the game world to the player by displaying it on 
basic types and variables and how they can be used to store or change information. Next, you see 
changes the memory in some way, whereas an expression has a value. Examples of instructions 
"skill : ""Magician", 
"skill : ""King", 
"skill : ""King", 
change the x-position of the rectangle over time. In order to do that, you have to store the current 
position of the rectangle will be changed, and it will be drawn in a different position than before. 
inconsistent representation of images. Fortunately, you can avoid this trouble by using types. 
The goal of the Painter game is to collect three different colors of paint: red, green
change this origin? For example, suppose you would like to draw the center of the sprite someSprite 
organize code. All developers have their own style of doing this. As you read on, you’ll discover that 
for Information Interchange. This was nice for the English language, but it wasn’t sufficient for other 
Browsers handling things differently is a major challenge for JavaScript developers, even though a 
Why do you change the position? When the ball isn’t in the air, the player can modify its shooting 
relationship that exists between variables. In the Painter game, it’s clear that the cannon and the ball 
the table. Because the number table doesn’t change, every time you play the game
The hexadecimal representation lets you define colors in Red, Green
representing the cannon. Because it isn’t possible to change the value of the center, this property 
player experience. As you build up your game application, you’ll find that sometimes the littlest thing to the 
classes if there is a “is a kind of” relationship between the classes. To illustrate this, suppose you 
Now suppose you change the declaration and initialization, as follows: 
Do you need to change the call to the update method? No, you don’t
you’ve organized all your variables into objects, which can be created using classes
be changed where. For example, you probably only want to change the canvas and canvasContext 
be changed outside the class they’re a member of. For example, here is the modified constructor of 
This chapter deals with adapting games to different devices. Until now, you’ve been developing 
variable changedTouches. For each element in that array, you add the touch event data to 
Because you’ve organized part of the game world in a grid, you can now use for loops in a smart 
but the list of game objects isn’t changed, meaning objl will still be drawn before obj2. As a result
declaration that says when the layer is changed, the drawing order isn’t automatically updated. A 
position. The result of this positional change is a nice motion effect, as you’ll see later. The method 
The only other thing you need to change in this game object is the update method, because drawing 
The challenge is, how do these game objects find each other? In the case of the Painter game
the player can change settings, get help
Although on game-development teams the programmer normally isn’t responsible for the design of the game, it’s still 
how players get in the flow (the mood in which they're fully committed to playing the game); how goals, challenges
designer. Careful level design leads to a good learning curve. It keeps the player challenged and motivated, and it should 
to disable the network adapter during the setup of an online game. Or, because of a virus wreaking 
thing you do is write the variable name in capital letters to stress that it’s different from other, normal 
change the existing classes in the example to follow this approach. For example, the GameObject 
represents. These decisions influence the work of both level designers, who have to enter the characters in 
this code in other game projects. By choosing a smart folder structure among different game projects, 
Now that you’ve reorganized your code, there are a couple more features to add to the Penguin 
because you changed the level status, you write it to the local storage so that the next time the 
what the challenges and goals are and how to control the game, they will probably get frustrated and stop playing. 
feedback. When a button moves downward when you click it with the mouse, it's immediately obvious that the button 
You also change the player’s origin. If you want to draw animated characters moving on a floor, it’s 
experience to your users, because they will already know the interface. 
and you change the color of the can. If you look at this case more closely, you can see that you’re 
machine. It’s a very common technique using in artificial intelligence systems. If you’re up to the challenge, try to write a 
offset that moves along with the player. As a challenge, try to extend the Tick Tick game with side scrolling and add a 
Now that you can change the speed at which time passes, you can do this depending on the kind of 
Another possibility would be to change the background music to something more frantic, to make 
make the level progression adaptive so that if the player dies too often, the maximum time of 30 seconds per level is 
adapt their strategy to it (in other words, the player will play worse in order to make the levels easier). Also
he organized a game-making competition while he was employed at HP, with a goal of creating the 
session may take only a few minutes. Both can be great experiences, but in a very 
sense to try to adapt the design of the user interface, the playing field
changes depending on the aspect ratio of the screen. Be careful, however
also adapt the interactions (finger positions) accordingly. /4s a result, you can’t always 
writing quick-and-dirty code. As you gain more programming experience, you’ll notice that you start 
then deploy it to any platform. For some projects, we use Unity
change, so why redraw them? The HTML5 canvas allows you to redraw only a part of the canvas 
This is a code design decision I made, but other developers might make a different choice. For 
Mark: “Because we are quite a small team, the project manager is also our game 
on a team are different. If someone believes they are the lead game designer, whereas another 
person on the team regards that same person as someone who isn’t crucial to the cause, this will 
have repercussions on how well the team works together. When you work on a project, think about 
your team may want to make a creative statement, but another member may simply want to earn a 
significant change in the way a game works. The earlier in the process you know this, the better. 
publish your games on Steam (http://store.steampowered.com), look at the mechanisms it provides 
challenge. Anybody can publish a game through the App Store. /As a result, there is 
Hierarchical representation, 154 
Portions of the text are from Learning C# by Programming Games, Egges
adaptation, computer software
Learning C# by Programming Games, published in 2013 by Springer. 
learning method for JavaScript/HTML5. I would like to thank Jon Westfall, the technical reviewer
example to print the first 100 prime numbers. A lot has changed since then, and learning to program 
the game. But such people can easily be found on the Web. And when you have a strong team, 
an experienced developer who is new to games and graphics programming, or a self-taught programming 
You should be experienced with programming in an object-oriented programming language, such as Java or 
engine development experience. However, you might still pick up a few useful tips about 2D game engine 
localized source code system changes. For example, only JavaScript source code files need to be modified 
efficient resource and game level loading, and audio support. 
materials. You can download the source code for all the projects, including the associated assets (images
appealing player experiences. The first challenge can be alleviated with a software library, or game engine
simulations. Through the projects in this book, you will build a practical game engine for developing video 
comprehensive GUI system can improve the end-user experience, the implementation requirements 
To open a project, select File >- Open Projects. Once a project is open
• Start NetBeans. Select File > New Project (or press Ctrl+Shift+N), as shown in 
• In the New Project window, select HTML5 in the Categories section
HTML5 Application from the Projects section, as shown in Figure 1-3. Click the Next 
To change this license header, choose License Headers in Project Properties. 
To change this tespiate file, choose Tools | Templates 
By selecting and double-clicking the index . html file in the Projects window, you can open it in the 
To change this license header, choose License Headers in Project Properties. 
To change this template file, choose Tools | Templates 
harmony to create a final experience greater than the sum of its parts, and all game designers must successfully 
design issues impact the player experience in many ways (for example, the number 
because it runs under what’s referred to as the presentation layer, or all of the 
players locate and extract the resources in the game, how they transport them from 
environment? The game setting is a critical part of the game experience and, 
experience, and visual choices will be intentional and well-matched to the game 
propel players through the game experience (often via scoring, unlocking individual 
grant experience points to characters. Other games, of course
example of running this project, which is defined in the Chapter2/2 . 1 . HTML5Canvas folder. 
In this first project, you will create an empty HTML5 canvas and clear the canvas to a specific color with 
(HTML5Canvas) in the Project view, then double-clicking Site Root
you will experience later, you will retrieve the reference to the GLCanvas to draw into this area. The text inside 
Run the project, and you should see a light green area on your browser window. This is the 640x480 canvas 
project, the organization of your code will allow you to expand
and JavaScript code) and that the same file from this project contains only the former, with all JavaScript 
In the following project, you will learn about drawing with WebGL by focusing on the most elementary 
example of running this project, which is defined in the Chapter2/2 . 3 . DrawOneSquare folder. 
reference to the GPU buffer in a global variable. Learning from the previous project, the corresponding 
project, the shader source code is defined in the index . html file
project displays a white rectangle in a greenish canvas, identical to that from the Draw One Square project. 
Create a new HTML5 project with the NetBeans IDE with a source code folder named src. Within src, create 
the resource management subsystem, of the physics subsystem
Although you’re accomplishing the same tasks as with the previous project, with this project you have 
You have organized your source code into separate and logical folders, created Singleton-like objects to 
when running this project, a white rectangle is displayed on a greenish canvas
means you will be able to test this project from within the NetBeans IDE. However, unless there is a web server 
As you have experienced in this project, the source code structure supports simple and localized 
changes when the game engine is expanded, in this case only changes to SimpleShader. js file. This 
• Work with abstract representations of renderable objects, transformation operators
With a well-organized source code structure, it is possible to gradually and systematically increase the 
changing the color of pixels corresponding to an abstract representation. For example, in the previous chapter
it is important to constantly keep this folder organized. In this case, create a 
gIMatrix 2.0 is the result of a lot of excellent feedback from the community, and 
Run the project, and you should see the corresponding white and red rectangles drawn on the canvas. You 
In the previous project, the transformation operators were computed directly based on the matrices. While 
logic and presentation of the games themselves. To facilitate this, it is important that the programmer can 
In the previous project, the uModelT ransform variable in SimpleVS . glsl is the Modeling transform. As 
Projection transform. To accomplish this transform, you will take advantage of two important functions 
and the Projection matrix (projMatrix). Since this book focuses on the 2D space, for now you do not need 
The View-Projection transform operator, vpMatrix
Projection matrices, the results from the mat4 . lookAt ( ) and mat4 . ortho ( ) functions. 
A viewport is an area to be drawn to. As you have experienced, by default WebGL defines the entire canvas to 
• To experience working with a WebGL viewport, define and draw to subregions within 
Run this project and observe the distinct colors at the four corners: the top left (mTLSq) in red, the top 
for drawing. With the Modeling and View- Projection transformations, a game programmer can now design 
The View-Projection transform allows the definition of a WC to draw from. In the physical world, this is 
interactivity and resource support, will be examined and added to the game engine. Interactivity allows the 
integrated with corresponding example projects. Additionally, game scene architecture will be derived to 
for a game. With the main goal of maintaining real-time performance, the details of a game loop’s operation 
set up. The interesting change in this case is the last step, step F
You can now run the project to observe the rightward-moving, rotating white square and the pulsing 
You can run the project and include additional controls for manipulating the squares. For example, include 
decreasing the position change amount, you are effectively controlling the speed of the object’s movement. 
Since there can be a large number of required resources to support an entire game, storing them 
resource managements, the responsibility of a game engine
the background music. When implementing support for external resources management, it is important to 
loaded resources. Based on this infrastructure, over the next few projects
This project guides you to develop the ResourceMap, an infrastructural object for resource management
The ResourceMap engine component manages resource loading, storage
Engine_ResourceMap. js. Similar to other engine components, add the following: 
Notice that ResourceMap is not designed to perform the actual loading of any resources. Instead, it is a 
gEngine.ResourceMap.asyncLoadCompleted (fileName, fileContent); 
to the definition of an engine-wide default resource storage support, or the DefaultResources component. 
With DefaultResources, the game engine can now load and create constant color shaders during 
The DefaultResources component must be initialized when the engine core is first initialized. In addition, 
With DefaultResources handling the storage of the shaders and index.html initializing the engine core, 
interaction experience are identical to the previous project, you now have a game engine that is much better 
instances can be created and interchanged during runtime. With this new interface, you will be able to 
The controls of the project are identical to the previous project, as follows: 
is the folder where all external resources, or assets
resources. Although GLSL shaders are also loaded at runtime, they are considered as source code and will 
• loadScene ( ) : For initiating the asynchronous loading of external resources, in this 
DefaultResources initialization is completed, the callback startScene( ) 
through the process of supporting asynchronous loading of external resources, the public methods and 
From this project on, all client code must be encapsulated in subclasses of the abstract Scene class
Based on the experience from the previous project, an abstract Scene object for encapsulating the interface 
the previous project, and thus much of the details are not shown. However
external resources to load, there is no need to override this function. 
as engine components in the src/Engine/Core/Resources folder. Second, both involve standardized file 
1. In the src/Engine/Core/Resources folder, create a new file and name it 
gEngine.ResourceMap.asyncLoadCompleted (clipName, buffer); 
ResourceMap is first consulted to ensure the requested resource is not already loaded, followed by registering a 
already loaded. Notice that if a resource is indeed already loaded, there is a 
It is common for a resource to be shared and reused over the course of a game, for example
load requests on these resources, potentially each time when a particular resource is needed. As described
load request for the same resource, the game engine will perform only one actual load operation. 
that this resource is used in two separate cases, and there will be two corresponding unload requests for 
this resource. In this case, the resource must be kept in the ResourceMap until the second unload request 
counter is introduced to keep track of the number of load and unload requests on a resource, and the 
Since the MapEntry object is created when the first load request is made on a resource, the initial value 
load commands have been issued on the resource, and remember to add this 
Each resource loader (for example, Engine. AudioClip or Engine. TextFileLoader) is responsible for 
Recall that these file paths are used as resource names for loading, storage
While it is important to unload resources, there can be exceptions. In this case
clip is not unloaded because BlueLevel will be using the same resource. In addition, this is an excellent 
By the time you’ve completed the Keyboard Support project in this chapter, for example
available to create a causal chain? You might choose to play with the relationship between the squares, 
basic mechanic isn’t quite enough on its own to create a fun experience, but by including just a few of the 
The Resource Map and shader Loads project, the Scene File project
We experience the world through our senses, and our feeling of presence in games tends to be 
and interaction experience is identical between the two, the Audio Support project begins to add some 
This project demonstrates the loading, rendering
The controls of the project are as follows, for both scenes: 
component to facilitate the sharing of systemwide resources. In this case, it’s to 
In the same manner as SimpleShader is a reusable resource, only one instance of the TextureShader needs 
1. In Engine_Default Resources, js
should be created to organize the growing number of different kinds of Renderable objects. In addition, the 
gEngine.ResourceMap.ayncLoadCompleted(textureName, texlnfo); 
TextureRenderable objects. For details of the changes, please refer to the source code file in the 
the example for this project, in the blue level the portal object appears to be 
Remember that the texture file path is used as the unique identifier in the ResourceMap. For this reason, 
1. In the Engine_DefaultResources. js file, add a variable for storing a 
the textures on these objects do not change in ways that correspond to the control, the interaction conveys 
organized along a column are not supported. For example, in Figure 5-11
information can be changed during runtime to reverse a character's movement, 
gEngine. ResourceMap. ayncLoadCompleted (fontName, fontlnfo); 
transitions where loaded external resources are always unloaded. However, when the entire game is ready 
and DefaultResources to release their allocated resources, and remember to 
2. In the Engine_DefaultResources. js file, add the following function to release 
all default resources, and remember to add the cleanup () function to the public 
to selecting a visual representation or game setting, but it is important to design a visual style for all game 
the Texture Shaders project with a humanoid figure stylistically matched to the flying robots on the screen, 
project, imagine that as the hero moves toward the robot on the right side of the screen
in-game logic. To accomplish these goals, three object types are defined: DyePack
similar as in previous projects, so the details are not shown here. Please refer to 
shown because they are identical to previous projects. Steps B, C
the rest of the source code in MyGame . j s is similar to previous projects. For this reason, only the details of 
change the values of the rate variable or modify the controls value of the Brain object; for example, change 
In the previous project, the Brain object would never stop traveling. Notice that under the I and K modes
In this project, you will see how to achieve per-pixel-accurate collision detection
This project demonstrates how to detect collision between a large textured object, the Collector minion 
areas. A collision occurs only when the nontransparent pixels overlap. In this project, when a collision 
rotated. The fundamental concepts of this project are the same as in the previous project; however, this 
Vector decomposition is relevant to this project because of the rotated image axes. Without rotation, an 
per-pixel accuracy. As in the previous project, a yellow DyePack object (as a test confirmation) will be 
project, with the exception of the two added controls for rotations. The details of the implementation are not 
shown. You can now run the project, rotate the two objects
The code for testing this project is a simple modification from previous projects, and the details are not 
boundary caused the level to visually change, and the Audio Support project added contextual sound to 
Starting with the Game Objects project, you can see how the screen elements start working together to 
convey the game setting. Even with the interaction in this project limited to character movement, the setting 
only the screen elements found in the Game Object Abstraction project, what kind of behaviors would you 
turn and respond to changes in movement; rather, they move smoothly and gradually
you may want game objects to respond direcdy to path changes (or, perhaps
typically aren’t sufficient on their own to create a magical gameplay experience: the setting, visual style
that abstracts and facilitates the presentation of the game objects on the canvas. In this way, your game 
with respect to the center. To experience zooming with respect to a target, move the Hero object toward the 
the results are often sudden or even incoherent changes to the rendered image, which may result in 
change, it is desirable to morph the values gradually from the old to the new over time
When comparing to the previous project, MyGame . j s file adds only a few lines in the update ( ) function: to 
definition applies to both individual game mechanics as well as entire game experiences. To use a metaphor, 
the ground up to deliver a unified experience. In the earliest stages of design exploration, it’s often helpful 
of potential rule-based scenarios in earlier projects. Recall the Keyboard Support project from Chapter 4, 
can intentionally solve the challenge). You’ll add complexity and interest to the mechanic in later iterations, 
only one instance of each shape per row. The shapes are representations of the top, middle
correct sequence to achieve a goal,’’ are featured in many kinds of games; any game that requires players to 
collect parts of an object and combine them in an inventory to complete a challenge, for example
mechanic. The Simple Camera Manipulations project, for example
first instance creates a leisurely puzzle-solving game experience, while the latter increases the tension 
in the Engine_DefaultResources. js file, located in the src/Engine/Core/ 
Resources folder, as shown here: 
the next project, try fiddling with the ambient red channel and the ambient intensity in order to see its effect 
From your experience building the game engine, you will remember that the engine interfaces to the 
The LightShader object subclasses from the SpriteShader to encapsulate its communication, which 
js file located in the src/Engine/Core/Resources folder. Also, define an 
not change during each rendering invocation. To avoid repeated computation of these values, a per-render 
With the project now complete, you can run it and examine the results. There are a few observations to take 
In the previous project, a single point light source was defined with the capability of illuminating a spherical 
light sources. The implementation principle for multiple lights remains the same as the previous project, 
Run the project to examine the implementation. Try selecting the lights with the 0, 1
In the previous project, you expanded the engine to support multiple light sources with individual light 
bg normal.png. As in previous projects, the objects are sprite elements of minion_sprite. png
As with the previous projects, your normal map integration will begin with the implementation of the GLSL 
With the project now complete, you can run it and check your results to observe the effects of diffuse 
corresponding surface illumination would undergo drastic changes (from dark to lit, or vice versa). In this 
From real-life experience, you know that specular highlights are visible even when the eye's viewing 
As in the previous projects, you will begin with implementing the actual illumination model in the GLSL 
2. As in the previous project, create the LightAttenuation ( ) function to calculate 
You can run the project and interactively control the object's material property. For example, by default 
normal. png and bg_normal.png). As in previous projects, the objects are sprite elements of minion_sprite. 
As with the previous projects, the integration of the new functionality will begin with the GLSL shader. You 
canvas is cleared. With the well-designed and organized engine system, both of these operations should be 
In the Simple Global Ambient project, you saw the impact that colored environment lighting has on the 
game setting. In this project, the hero character moves in front of a background that appears to be made of 
might convey a story or increase tension. In the Simple Light Shader: One Light Source project, a light was 
For the next phase of the simple game mechanic project, how might you integrate light directly into 
might use colored light to change the visible color of illuminated objects, or you might use something like an 
player can first understand and then predictively apply to achieve their goal. In this case, it’s reasonable to 
player with contextual feedback that will help teach the puzzle logic and rules (in this case, using a progress 
feedback models, it’s always a good idea to review how other games have handled similar tasks
changed by the forces acting upon the object. For example, if you were to throw a ball into the air
This shortcoming is overcome with the method you will be implementing, known as the Semi-Implicit 
Projection Method will be used to separate the interpenetrating objects, while the Impulse Method will be 
when the bound color changes to red. Cycle through the H, M
The rest of the testing system is largely similar to previous projects, and the detailed code listing will not 
Resources folder. Also, define an accessor function as shown here: 
The test should verify two main goals. First, the implemented particle system is capable of generating 
These particles when created can move and change based on their properties. However, particles can be 
desirable to persist the generation of particles after the state change, such as an explosion that persists for a 
Our entire experience in the physical world is governed by physical laws, and when you model physics 
relationships are consistent and reasonably analogous to our physical experience, presence will typically 
As with earlier projects, it’s possible to use basic behaviors to explore new game mechanics. 
hit with the tracking projectiles. Imagine the same level without physics, and it’s a different experience 
The mechanic is evolving to include a dexterity challenge (in this case, timing the jumps)
the environment as a tool; you can add a similar second challenge to the platformer component, as shown 
increase the challenge of the platformer component. In this design, the player must activate the switch 
action platformer experience. At this stage, the mechanic is becoming more interesting and beginning to feel 
experience, or maybe a series of puzzle levels with no connected narrative? The setting you choose will not 
and defining the elements of the challenge in a way that make sense for the setting. For a spaceship setting, 
still combine to create an experience with a strong presence for players. However, if you find yourself with 
You can now run the project and move the Hero object with the WASD keys. As expected, the two layers 
similar to that from the previous project, and the details are not listed. The relevant part of the initializeQ 
// Inits DefaultResources, when done
comes down to understanding your audience. If you’re creating an AAA first-person-shooter experience, 
designed to provide players with new experiences and unexpected twists, however
kinds of games and dreamed about creating new experiences based on the mechanics we know and love, 
important to the Portal experience as the portal-launching mechanic, and it’s hard to separate gameplay 
movement in the Parallax Objects project; as you move through the physical world, the environment 
excellent harmony between game setting and player experience. At this point," the mechanic from the ""Game "
The projects included in the main sections of Chapters 1 to 10 began with simple shapes, slowly introducing 
Chapter 1 0 be adapted to a jungle setting, a contemporary urban location
There are two factors with the newly expanded level design that increase the challenge. First, the 
for ways to increase player engagement while also upping the challenge (if desired). Prior to adding a floor, 
floor removes the falling risk and decreases the challenge of the level, but you might decide that the floor 
moving platforms and attacking enemies are additional obstacles that add incremental challenge to play, 
complete game experience (including visual detail and animations, sounds
Creating a vertical slice is helpful to focus the team on what the final experience will look, feel
"be one build where a few key visual assets have come in that make the team say ""Wow", now this feels like our 
audio attached to in-game actions is an important feedback mechanism for players. Menu selections, 
degree of challenge associated with each system (unlimited versus limited time). Similarly, if you added 
tutorial experience? If you haven’t played mobile games recently, it’s worth exploring a few titles and paying 
development and the level design will play off each other to drive the experience forward, so stay alert for 
in the experience, which can change dramatically depending on who’s in the driver’s seat. Although some 
a wide range of mechanics for many kinds of game experiences, from the included 2D side-scroller to 
isometric games to first-person experiences and more. Remember, game mechanics are fundamentally 
you'll become with the process. After you’ve gained some experience with simple mechanics and systems, 
experiences, taking issues such as performance/responsiveness
DefaultResources.js file, 278 
external resources, 117 
ResourceMap.asyncLoadCompletedO, 119 
ResourceMap.incAssetRefCount(), 119 
ResourceMap.isAssetLoaded(), 119 
AAA first-person-shooter experience, 439 
Layer Manager Project, 432-438
ParallaxObjects project, 428-430 
players experience, 440 
professional game designers, 439 
Shadow Shaders project, 440 
tiled objects project, 421-422 
Tiled Objects project, 440 
Camera Objects Project, 71-74 
external resources, 236 
resource Hies, 249 
goals of, 209 
Engine Defan It Resources.js, 311 
resource files, 306 
goals of, 24 
gEngine_DefaultResources, 178 
ResourceMap.retrieveAssetQ, 174 
goals of, 201 
experience, 455 
interactive experience, 267 
keyboard support project, 268 
resource management subsystem, 32 
goals of, 189 
goals of, 224 
goals of, 16 
goals of, 31 
project creation, 31 
goals of, 19 
Lngine DelauUResources.js file, 289 
goals of, 55 
resource files, 262 
projects window, 4 
goals of, 44 
goals of, 409 
goals of, 214 
goals of, 398 
projects, 414 
goals of, 49 
external resources, 93 
ResourceMap.isAssetLoadedQ, 99 
ResourceMap.retrieveAsset(), 101 
goals of, 382 
goals of, 40 
Engine .DefaultResources, 131
external resource files, 341 
shaders project, 340 
real-life experience, 316 
resource files, 320 
goal of, 228 
Engine_DefaultResources.js, 158 
ResourceMap, 149 
Tiled Objects Project, 421-422 
goals of, 59 
decision factors, 105 
DefaultResources, 109 
resource management, 77 
shader Loads project, 126 
goals of, 65 
View-Projection transform operator, vpMatrix
View- Projection transform operator, 
chapter 2 Decisions, Decisions 29 
