input,output
e int main() {: This line declares the main function, which is the entry point of the 
program. int is the return type of the function, which indicates that it will return an 
function, it specifies the entry point of the program. 
they can be accessed in a program. A variable declared inside a function, for example
be accessed within that function. A variable declared outside of any function, on the other hand
the main function, but only the global variable can be accessed outside of the function. Overall
Note that the math library also provides many more functions than what is covered here, such 
as hyperbolic functions, inverse trigonometric functions
Note that boolean values are commonly used in conditional statements, loops
using a different name. References can be useful for passing arguments to functions, as they 
References can be useful for passing arguments to functions by reference, which allows the 
This declares a function named doubleValue, which takes an integer reference as an argument 
Pointers can be useful for passing arguments to functions, as they allow the function to access 
This declares a function named doubleValue, which takes a pointer to an integer variable as an 
This declares a function named add, which takes two integer arguments and returns their sum
and height to the console. In the main() function, we create an object r of the Rectangle 
message to the console when the object is destroyed. In the main() function, we create two 
data and behavior, and to create objects that represent real-world entities or concepts. They can 
function," we throw a MyException object with the message ''Custom exception""'"
world and providing a public interface to access its functionality. In C++, encapsulation is 
from the outside world. The calling code can only interact with the public member functions, 
Triangle add their own implementation of the area() function, which overrides the 
main() function, we create objects of type Rectangle and Triangle
polymorphism is achieved through the use of virtual functions, which are functions that can be 
makeSound() function on the Animal* pointer, the actual function that gets called depends on 
call the makeSound() function on the Animal* pointer, the actual function that gets called 
wide range of functionality, including input/output
a boolean expression that is evaluated before each iteration of the loop, and update is an 
which are functions that can be called on an object of the class. For example, we can add a 
e Boolean Variables: Boolean variables are used to store boolean values, which are either 
value (True or False). Examples include ==, !=
defined using the def keyword followed by the function name, input parameters (if any)
function is called. Here is a simple example of a function that takes two input parameters, 
function. To call this function, you simply provide values for x and y in the parentheses: 
This will call the add_numbers function with x = 5 andy = 3, and assign the result (8) to 
other functions. For example, you can use a lambda function to define the key parameter for 
OOP provides a way to encapsulate data and behavior into reusable and modular components, 
functionality, such as virtualenv and conda. These tools allow you to create isolated Python 
This opens the file filename.txt in read mode. The open() function returns a file object, 
JavaScript Allongé: A strong cup of functions, objects
new table. This table contains two functions defined by keys, push and pop. Both operations 
After you call the push function, the element is appended at the end of the out table. 
insert and table . remove functions. However, this will add unnecessary overhead because 
functions: a push, a pop
local tr2 = function (t, v) 
local function addKV(k, v) 
newindex = function (t, k
lorem = local_functionl , 
ipsum = local_function2 , 
var2 = 1 sit ' , 
var2 = 1 sit 1 , 
local function fl(a, b) 
function try(fn, catch_fn) 
local function xpcall2 (fn, . ..) 
function calls, but also handles getting the trace back with the debug . traceback 
lua . h header file or lua . hpp for C++ source code. You can rely on this set of functions, but 
"{ ""myfunction"" ", lua_example_myfunction} 
"stack . setField<bool> ( ""boolean"" ", false) ; 
lua_pushboolean (L, (int)true); 
lua_pushboolean (L, (int) false); 
API function lua_to*, for example
function SDL_assert (condition, msg) 
It's more efficient to use the table of event functions than the usual approach with the if, 
can be achieved with the sdl . SDL_init function, where the only parameter is a bitmask 
you call this function only once for each event loop iteration. If there are no events pending, 
event functions stored in a table, which is explained in the previous recipe in detail: 
Mouse cursor centering can be achieved with the sdl . SDL_WarpMouse function, where 
By putting the sdl . SDL_WarpMouse function inside the mouse movement event handler, 
AddTimer function, where it accepts two parameters instead of three. The first parameter is 
specified in the second function argument into the event queue. Fortunately, event handling in 
handler will always try to query the timer function from the timers table, as shown in 
local function createTimer ( interval , fn) 
The remove function will stop the timer and destroy the timer object. Without this step, you’d 
be relying on the automatic cleanup functions of the operating system, which is never a good 
function. However, there's a catch to call this function properly mainly due to Lua++ binding. 
You can create a new empty surface with the SDL . SDL_CreateRGBSurf ace function, 
ConvertSurf ace function, which creates a new surface. The existing pixel data will be 
local surface = function (width, height
obj.blit = function (destination, srcRect
function returns a 32-bit value of the selected color. Of course, you can store these values 
function hsl2rgb(h, s
function rgb2hsl(r, g
function cmyk2rgb(c, m
function rgb2cmyk(r, g
functions, you'll need the OpenGL wrapper library that provides an interface to those 
functions. Fortunately, there’s one available on GitHub repository for free. You can 
standard set of functions while other functions may be marked as deprecated. What's more, 
glGet function, which you can find on the web page http : //www. opengl . org/sdk/ 
The Gl . Get function offers a powerful querying capability. It unifies the glGetBoolean, 
dynamic bindings to OpenGL extension-specific functions. Without GLEW, this was usually 
Load function, where the only parameter is the image filename. If there is such a 
first function will always try to detect the image format, the second one accepts an image 
Even if you choose to load the image file with the sdl . SDL_iMG_Load function, it uses 
function, which will return a Lua table with texture identifiers. This function has only one 
this function. The first one is called gl . TexParameteri, which only accepts integer values. 
With these functions, you can also set the offsets for each dimension. Notice that these 
There are four versions of the function you can use to load the sdl . TTF_OpenFont, sdl . 
This recipe will contain the whole text drawing function, which you can reuse and modify to 
function ttf_print(x, y
for 1=1, #text do 
local function allocBlock (width, height) 
The function for the first phase will consist of two input parameters, the name of the tileset 
function getTile (tileset_name, tile_name) 
function transf ormCoordinates ( tileset_width, tileset_height 
function drawTile ( tileset_name , tile_name
With this function, you can place tiles anywhere on screen. The polygon position is defined 
This function accepts one of these parameters, gl_cw and gl_ccw. The first one renders 
you can use the OpenGL utility functions (GLUT) to draw more complex objects such as curves, 
To get access to the OpenGL functions from the Lua language, you'll need to use the LuaGL 
The vertex position can be defined by these two functions— gl .Vertex2f (x, y) and 
coordinates for the next vertex. These can be set with the functions: gl .TexCoord2f (u, v) 
function that calculates the final color value. For example, the gl_func_add blending function 
Space objects will be drawn with the drawObject function, which will accept one 
parameter— object color. This function will draw an object at position (0,0
resets into identity matrix. The next operation is to scale with the gl . Scalef function, but 
matrix into stack memory with the gl . PushMatrix function. After scaling, you can draw the 
function, which will set up the projection matrix. The following code shows you how to use 
The OpenGL function, gl . Frustum
the gl . Frustum function. As you can see, the gl . Perspective function is actually 
function computeFrustum ( f ov, screen_aspect_ratio 
Notice that the gl . Materialfv function accepts the Lua table, whereas gl .Materialf 
the gl . FrontFace function. By default, OpenGL uses gl . FrontFace (gl_enum . GL_CCW) 
the gl . Vertex function for each vertex, you can load vertices into the memory in a batch. 
or matrices. This means functions such as gl .Vertex, gl . Rotate
You can set the uniform variable by one of these three functions: gl .Uniformi, 
There are four versions of this function. One for each type of value: integer, unsigned integer
OpenGL offers a very powerful function, gl . CopylmageSubData. It allows you to copy data 
local function setUniform (var_type, name
local function pro j ectionMatr ix ( f ov, aspect
The whole light reflection algorithm is packed into one function, processLighting. 
for the current texel. It means that all values are now in the range (0,1)
use the setuniform function from the previous chapter, which will make setting uniform 
local function handleEvent (name , ...) 
local function addHandler (name , fn) 
local function pro j ectMouseCursorToWindow (mouse_x, mouse_y) 
local function isMouseOverWindow (mouse_x, mouse_y) 
the inverse of this transformation matrix will produce a reverse transformation. In this case, 
Notice that window rendering relies on two functions, update and draw. The update function 
three functions, namely
obj .propagateSignal = function (name , ...) 
obj . callSignal = function (name , ...) 
ob j . addSignal = function (name , fn) 
obj .projectMouseCursorToWindow = function (mouse_x, mouse_y) 
ob j . isMouseOverWindow = function (mouse_x, mouse_y) 
function (self , x
local function handleEvent (name , ...) 
buffer. This is set by the gl . stencilFunc function, where the first parameter presents a 
comparator function, the second is a reference value
behavior of the stencil test is set by the gl . stencilop function, where this first parameter 
Now that you've got the basic functionality to draw and manipulate windows, you can design 
function (self , x
function (self , x
function (self , x
function (self , x
local function isPrintable (key, mod) 
local function processKeyboard (key, mod) 
function (self , x
function ( self , key
local function handleKeystroke (key, mod) 
function, resulting in the following code: 
local function processKeyboard (key , mod) 
libSDL Lua binding called LuaSDL2. There are three clipboard functions: hasClipboardText, 
The LuaSDL2 library obeys function specifications used in the plain libSDL2 library, so using 
function, you can use the FixtureDef object as well. This way you can set all the important 
local function createBullet (position, radius) 
local function createWall (position, size) 
in the createBullet function near the end. With this, bullet objects can run really fast and 
This function accepts three parameters: the size of a time step, number of iterations for the 
contact_listener . preSolve = function (contact , oldManifold) 
contact_listener . postSolve = function (contact , contactlmpulse) 
the callback functions are defined in the Lua environment, it’s fairly easy to postpone such 
This function is used when two objects cease to collide. Similarly, as with the beginContact 
callback function, you've got only one parameter— the Contact object. 
local makeBox = function (position, size
function, which is defined for two input coordinates: 
illustrate the usage of the Cantor pairing function for more dimensions, its primitive form will be 
defined as a function cantor (ki , k 2 ) 
local function cantor3D(kl, k2 
local function cantorPair (kl , k2) 
index = function (_, k) 
newindex = function (_, k
local cellTestFn = function (cell , position) 
local function neighbours (positionO , fn) 
The most important is the neighbours function, which determines where to go from 
local tr2 = function (t, v) 
local function addKV(k, v) 
newindex = function (t, k
function solver (mapCells , startPoint
local function cantorPair (kl , k2) 
local function reconstructPath (cameFrom, goal) 
local function heuristicCostEstimate (pO , pi) 
local function cost(pO, pi) 
function solver (mapCells , startPoint
neighbor cell is determined by the cost function, which will return step cost 1 if you can pass 
function, the shape of a frontier ring is formed differently. The ring expands more in the 
of a truth value, whereas Boolean logic uses a binary set of true or false values; fuzzy logic 
local function min (a, b) 
return function (x, y) 
local function max (a, b) 
return function (x, y) 
local function crop (rangeMin, rangeMax) 
local function mergeSets(a, b) 
Truth values usually take one of these three shapes: triangle, trapezoid
local function triangle (a, b
local function trapezoid (a, b
local function gauss (deviation, mean) 
local function solve (_, inputs) 
add = function (a, b) 
mul = function (a, b) 
index = function (_, name) 
newindex = function (_, name
premise = false, 
The third step is the implementation of three functions computelmplication, 
local solve = function (_, inputs) 
audio callback function, which isn't very usable in the Lua language environment. 
to work. This function accepts four parameters: sampling frequency, audio format
function accepts one or two channels, so you can have mono or stereo output. 
functions to sound channels, such as volume control
with the sdl. Mix_LoadWAV function. Regardless of its name, it can load sound 
function. It accepts three arguments, namely
Channel can be stopped with the SDL.Mix_HaltChannel function, which accepts 
All functions in this recipe are channel oriented, which means you can control the sound 
can use the channel number -1 in the SDL . Mix_PlayChannel function, so LuaSDL will pick 
You can query specific channels for their status with the functions sdl . Mix_Playing, sdl . 
1. To load a sound file into memory with the sdl . Mix_LoadMUS function. In this case, 
function, and for the fade out effect
by a separate set of functions, so it's guaranteed that sound samples won’t disturb the 
The sdl . Mix_LoadMUS function can decode other kinds of sound formats, such as MP3 and 
7. Now you can assign a function to the poll, which will be used after you receive 
instead of using the bind function to listen for connection, you'll be using the connect function: 
There are a few more notable differences. A function to start polling, poll . start ( ) 
By using the socket . bind function, you'll create a listening part of the socket and it'll accept 
Do note that the bind and connect functions are non-blocking. Therefore, code execution will 
There are two functions used to send and receive messages. To send a message, just call a 
function socket . send, which accepts at least one argument as a string value. This string will 
socket . recv will receive only one message. The other function, socket . recvAll
can be done with the socket . send function, while adding a second argument with the zmq . 
socket . sendMultipart function, where you can place all parts into a single table 
Polling must be started with the poll . start function, otherwise it will have no effect. 
a new thread with the context . thread function, which expects at least one 
Threads are created with the context . thread function, where the first argument is always 
functions 128, 129 
functions, text rendering 94 
moving 130-137, 255 
ipairs function, extending 14 
3-6158181.html). This is a cutting-edge trend that will continue, and game 
capitalized. Class “methods” are often referred to as functions, for this word 
threaded functions, then they would run in parallel with the main loop
The square root function, sqrtO
worker thread that runs in a function called thread_functi on, both of which 
C++ language a huge boost in functionality, covering a diversity of subjects
Windows API GetTickCount! ) function, which was used previously. 
3. “AMD Phenom-II X6-1090T Black Edition Processor Review”; June 5, 
function. Previously, variable testDi visor was incremented until the root of a 
is just a subset of code from the previously larger f i ndPri mes ( ) function, which 
though. The testPrime( ) function, in particular
to call any additional function to get it started, it just takes off. 
with optional thread function parameters, as we have seen in the threaded prime 
wish in the function. However, if you need to return a value by way of a 
function or block of code is “locked” until that thread “releases” it, and no other 
cases (4-5, 8-9). The point is
threading function like POSIX threads. Fortunately, the two are already similar. 
loop inside your thread function, it will run once and terminate with the 
function method, if only because it allows for smaller
thread function, you have programmed it to update all of the sprites in the entity 
The thread function runs in a tight loop with no timing whatsoever, so it runs 
call to the update function in your game’s source code, and a pointer to the 
entity is passed to this function each time. Now, if your tightly written thread 
bit of overhead with all of the function calls, but the advantage is that now we 
Returning to the subject of single-run thread functions, there is another draw- 
thread function call theory would utilize multiple cores, since the operating 
will find a folder called Alibraries\pthreads-w32-2-8-0-release that includes ready-to-use headers, 
processing. This function should contain its own loop, but should have exit logic 
This brings us to the pthread_exit function, which terminates the thread. 
create and a thread function, knowing how to create the function and use it. 
require a function; rather, it requires a struct variable. In our simplistic approach 
the thread functions, will prevent data read/write conflicts. You must destroy the 
In the main function of our program, we can then wait for the thread counter to 
inside that thread function is very tight and fast, meaning there are a lot of 
running (when the thread function returns). I always like to see a quick, simple 
bad memory location specified for the thread function, thread parameter
The thread function starts executing when the thread is created. Normally, a 
thread function will have some distinct process to run, such as sorting data in a 
have to open up a function and modify it, that’s a good sign that it was poorly 
The core system makes calls to the following functions, which are declared as 
rendering functions defined yet. Though, technically
30-60 seconds for each build, you will welcome the speed boost that this 
helper functions to actually get the mouse position on the screen— or, more 
and ScreenToClientO functions, which you will see in the code listing. 
the block of code bounded by these function calls, and no rendering can occur 
the operator<() function, as the current crop of overloads support only a 
To illustrate the functionality of the initial version of this new engine, well write 
theory behind any of these math functions, nor does this text attempt to derive 
is 1 + 3 = 4, for a target point of (6
functions to make it easy to copy, multiply
classes and related functions treat vectors interchangeably with points, we will 
function that calculates the arctangent of two deltas— first the Y delta, then the 
The atan2() function requires the del taY first, then the deltaX parameter. Here 
includes the angular velocity and angle-to-target functions, which I will explain 
in a more convenient way (as opposed to writing examples with C++ functions, 
[ 10*2, 18*2
The same premise for matrix multiplication holds true for addition, subtraction
the functionality in D3DXMATRIX immediately, because that could lead to bugs in 
functions with our own eventually. What we do want is to learn, and as long as 
and functions without reinventing the wheel all at once. Later on, perhaps this 
added functionality beyond its parent, D3DXMATRIX. I have included rudimentary 
use of any intrinsic helper functions inside D3DXMATRIX, as well as the grand- 
multiply the radian value by 180 / tt. Conversely, to convert from degrees to 
then filled by the function D3DXMatrixLookAtLH, which creates a view based on 
function, but it also needs to provide basic camera positioning and orientation 
functions. At minimum, you will want to move the camera to track an object 
handled for us in the Engine::Update() function, all we need to do on the “front 
mesh rendering function. (More on this in Chapter 9, “Mesh Loading and 
parameters in this function definition, we need concern ourselves with only 
of techniques and vertex/pixel shader functions within, but since that combined 
VertexShaderFunction and Pixel ShaderFuncti on. Normally, a technique will 
function, like a diffuse light shader or a normal mapping shader. 
setProjecti onMatrix( ) functions, respectively. Below is the header file for a new 
The parameters for each function are self-explanatory. In some cases, we are 
Calculating the inverse of a matrix is rather complex, involving some derivation 
D3DXMATRIX inverse, wit; 
D3DXMatrixInverse( &inverse, 0
carried on to a calling function. If you wish, you may combine the function calls 
function, declared with a #define). In addition to providing a conversion to a 
functions that previously supported only D3DC0L0R. For instance, in Engine
D3DXMATRIX inverse, wit; 
D3DXMatrixInverse( &inverse, 0
function looks for blocks without expecting them in any particular order, since 
functions when calling Mesh::Draw() since they are already being called. (Again, 
functions in the class that will not be used immediately — namely, the render 
Normalize function on an existing vector with length, which results in a vector 
D3DXMATRIX inverse, wit; 
D3DXMatrixInverse( &inverse, 0
Now we come to the vertex shader function, which accepts the input struct as a 
and inverse/transform matrices, and the light source and specular highlight 
D3DXMATRIX inverse, wit; 
D3DXMatrixInverse( &inverse, 0
D3DXMatrixInverse( &wit, 0
While game engines were once designed to function in a limited gameplay area, 
getHeightO function retrieves the height value at a given X,Z position in the 
data inside a .X file can be loaded by either function, but transforming
The function for loading animation data, skin info
book. We do cover the most important functions and structures, but not any of the minutia. 
The functions implemented in the MeshLoaderCall back function are required, and their 
for each frame in the tree. This could be done in the render function, but we will 
update function that’s guaranteed to run as fast as possible. To render the tree, we 
call a recursive function, drawFrame! )
DrawMeshContai ner is similar to our old static mesh rendering function, in that it 
function transitions animation from one set to another, performing a slight 
renders rectangular shapes using orthogonal projection. This new functionality, 
engine core calls game_render2D( ) inside these two function calls, so our game 
function alone, and we can even get animation by manipulating the source 
no functionality on its own, we well build our own Rect class with all of the 
properties and functions— and as such, it is similar to just a simple struct. I did 
functions, while enforcing good OOP structure
variable or function naming, or accessor/mutator usage. Let us keep it simple for the sake of learning. 
ment. The Sprite class has some functionality that we’re not using yet, but 
functionality at a lower level, you can tell the sprite Tenderer (ID3DXSpri te) 
contained function. This function creates a matrix with scaling, rotation
function called unzLocateFileO; if found, then this function will return UNZ_0K. 
Be sure to add the three zip asset functions (LoadAsset, LoadTextureFromZi p
manner. By adding this functionality to the engine, we gain some impressive 
usual function calls: ClearO, Begi nScene( )
line-drawing functions we’ll develop. For example, you could use the Bresenham 
don’t need a profiler to prove that these two function calls are the bottleneck, 
to Distance! ) and Angl eToTarget! ) could be moved into the update function, 
will function at a high level, taking care of most of the lower-level details like 
scrolling game out of it. Note the two update functions, updateBounded( ) and 
function, as they will refresh the scroll buffer based on the current scroll 
function, and vice versa
functions used internally by the engine to update, draw
That odd-sounding bury Enti ti es ( ) function is actually quite descriptive, 
functionality to the entity manager, this is where you will want to do that 
functions, while the code in the loop is pipelined and probably would not even show up in profiling. 
Like the enti ti esRender2D( ) function, enti ti esRender2D( ) also iterates through 
Now for the timer events. The game_event function receives all events, and the 
pure virtual functions required by the base class. As you’ll recall, Enti ty : : Update! ) 
works out fine for the existing Sprite: :Update function, which was declared with 
Our Entity class requires a Render!) function with no parameters, but the 
in this new function. When creating a new managed sprite, we must be careful to 
parameter Render!) function will be retained, it is not possible to use it from 
D3DXMATRIX inverse, wit; 
D3DXMatrixInverse( inverse, 0
D3DXMatrixInverse( &m, NULL
D3DXMatrixInverse(&matInverse, NULL
method just covered checks the mesh faces for an intersection, which can be 
D3DXMatrixInverse( &m, NULL
D3DXMatri xln verse (&mat Inverse , NULL
intersection, where we test to see if a point falls within the boundary of a 
This program also tests point-rectangle intersection testing, which is a form of 
These new functions are added to the Eng i ne . h file to handle it. Or, if you prefer
just use the ShowCursor function directly, but I prefer to abstract both the 
spri te->setPi vot( Vector2(128*0.75,128*0.75) ); 
“picking” function developed earlier, called intersectsCoordsToMeshO. But that 
leads to a problem: this function requires the projection and view matrices, and 
D3DXMatrixInverse( &m, NULL
D3DXMatrixInverse(&mat Inverse, NULL
spri te->setPi vot( Vector2 ( 128*0 . 75 , 128*0 . 75 ) ); 
Direct3D function D3DXComputeBoundi ngBox, and for a bounding sphere
function D3DXComputeBoundi ngSphere. Using a bounding cube, we can use simple 
function called Attract!), which simulates attraction between two objects of 
D3DXMatrixInverse( &objects[n]->wit, 0
improvements. You may recall the Engine: : Update ( ) function, which was first 
Since there are nested for loops in the testForCollisionsO function, each 
Attract! ) function shortly. Only the relevant code is provided, while functions 
D3DXMatrixInverse( &wit, 0
still functioning entirely in 2D. Now, at last
inverse/transpose matrices, 225 
D3DXMatrixInverse , 224 
helper functions, Camera class
inverse matrices, 224
inverse, 224
thread function, 98-101 
point-rectangle intersections, 
crunching functions, 46 
mesh intersections, 511-513 
point-rectangle intersections, 
renaming functions, 111 
functions, 143 
functions, 5
Function, rewrite thyself! 
Chapter 3 . Functions, covers functions that JavaScript uses
Function, Boolean
Appendix B . Built-in Functions, is a reference of built-in JavaScript functions together with 
function sum(a, b) { 
declare your intention using (once per function, or once for the whole program) the following 
generator functions, to also enforce strict mode
some work. The Programmer object only needs to implement more specific functionality, such as 
from A and B extends A. Also, the object that inherits can pick one or more methods and redefine 
v4 = 4, 
parselnt() function as a string with a radix of 2, as follows: 
use a function called parselnt(),as you'll see in the next chapter): 
function sum(x,y){ 
function multi(x,y){ 
The tag function, 'transform'
function transform( strings, . . . substitutes){ 
When template strings (Name is) are passed to the tag function, there are two forms of each 
function rawTag ( strings, . . . substitutes){ 
If you quote true or false, they become strings
If you use a logical operator on a non-Boolean value, the value is converted to Boolean behind 
• All values become true when converted to a Boolean, with the exception of the following 
The condition (the part in parentheses) always returns a Boolean value, and may also contain the 
Mastering functions is an important skill when you learn any programming language, and even 
more so when it comes to JavaScript. This is because JavaScript has many uses for functions, and 
• The concept that functions are just data, albeit a special type of data 
Functions allow you to group together a code, give it a name
function sum(a, b) { 
• The name of the function; in this case, sum. 
• The function parameters; in this case, a and b. A function can take any number of parameters
Note that a function can only return a single value. If you need to return more values, you can 
In order to make use of a function, you will need to call it. You can call a function simply using its 
Let's call the sum ( ) function, passing two arguments and assigning the value that the function 
When defining a function, you can specify what parameters the function expects to receive when 
it's called. A function may not require any parameters, but if it does
are often used interchangeably. Parameters are defined together with the function, while 
> function sum(a, b) { 
function expects, the extra ones will be silendy ignored
If you test this function by calling it with a different number of arguments, or even none at all
Function parameters can be assigned default values. While calling the function, if a parameter is 
function render (fog_level=0, spar k_level=100) { 
function t(fog_level=l, spar k_level=fog_level) { 
function s(fog_level=10, spark_level = fog_level*10) { 
function sayThings( tone, ...quotes){ 
The first parameter passed to the function is received in tone, while the rest of the parameters are 
function sumAll(a, b
function. In the preceding example, we have an array we need to pass to a function where the 
apply ( ) function, where the second argument allows an array to be passed to the function being 
function call. The array is then split into individual variables-a, b
functions, their arguments and return values
internally. You can think of a function as a black box, give it some values (as input arguments)
The function accepts an optional second parameter, which is the radix
The parseFloat( ) function is similar to the parselnt ( ) function, but it also looks for decimals 
when trying to figure out a number horn your input. This function takes only one parameter, which 
arithmetic operations. This functionis also a convenient way to check whether parselnt( ), 
The isNaN ( ) functionis useful because the special value NaN is not equal to anything, including 
encodeURI( ) or encodeURIComponent ( ) functions. The first one will return a usable URL, 
The eval( ) function takes a string input and executes it as a JavaScript code, as follows: 
The e val ( ) function can be useful sometimes, but it should be avoided if there are other options. 
Before using this function, bear in mind that it blocks the browser thread
if a variable is defined inside a function, it's not visible outside of the function. However
describes variables you define outside of any function (in the global program code), as opposed 
• Outside the f ( ) function, the local variable doesn't exist 
What happened? The f ( ) function contains the local variable. Before calling the function, the 
variable doesn't exist. When you call the function for the first time, the local variable is created 
working on two different functions in the same script, and they both decide to use the same name 
When your JavaScript program execution enters a new function, all the variables declared 
anywhere in the function are moved, elevated
Variables declared with var are function scoped, as we saw earlier. The following example 
function swap(a,b){ // <--function scope starts here 
This means that you can create a function and assign it to a variable, as follows: 
When you use the typeof operator on a variable that holds a function value, it returns the string 
> var sum = function (a, b) { 
As functions are data assigned to variables, the same rules for naming functions apply as for 
This is also often called an anonymous function (as it doesn't have a name), especially when 
such a function expression is used even without assigning it to a variable. In this case, there can 
be two elegant uses for such anonymous functions, which are as follows: 
As a function is just like any other data assigned to a variable, it can be defined
Here's an example of a function that accepts two functions as parameters, executes them
function invokeAdd(a, b) { 
Now you can pass those functions to the original function, invokeAdd ( )
> invokeAdd(function () {return 1; }, function () {return 2; }); 
function () { return 1; }, 
When you pass a function, A
a callback function. If A doesn't have a name, then you can say that it's an anonymous callback 
callback functions, namely: 
• They let you pass functions without the need to name them, which means there are fewer 
• You can delegate the responsibility of calling a function to another function, which means 
Take a look at this common scenario-you have a function that returns a value, which you then pass 
to another function. In our example, the first function
The second function, addOne( )
function multiplyByTwo(a, b
elements is to be passed through both functions. First, let's start with a call to multiplyByTwo ( ) : 
function multiplyByTwo(a, b
Using the modified function, all the work is done with just one function call
start values and the callback function, as follows: 
is also the place to put any arguments that your anonymous function might accept, for example: 
parentheses that invoke the function. So, the following piece of code also works: 
Bearing in mind that a function is just like any other value, there's nothing that stops you from 
defining a function inside another function, here's the example: 
Using a function expression, this can also be written as follows: 
When you call the global outer ( ) function, it will internally call the local inner ( ) function. As 
• Privacy-you can expose only those functions to the outside world that you decide, and keep 
and this value can just as easily be another function, for example: 
as a normal function, as follows: 
If you want to execute the returned function immediately without assigning it to a new variable, 
Function, rewrite thyself! 
As a function can return a function, you can use the new function to replace the old one. 
assigned back to the function. But, the function can actually rewrite itself from the inside
If you call this function for the first time, it will do the following: 
Every subsequent time that the function is called, it will alert B ! . 
• The function executes for the first time, calls someSetup ( )
return statement because you're returning a function reference, not the result of invoking 
features won't change between function calls, you can have a function determine the best way to 
variable defined in a function is not visible outside the function, but a variable defined in a code 
If you define an inner ( ) function nested inside outer ( ), it will have access to variables in its 
Functions have their own private space and can use it to store other variables, such as b
inner functions, such as N (for inner). At some point
the F function, then you have access to the global space and to the F space. If you're at point c
which is inside the N function, then you can access the global space
Take a look at the following function, which is the same as before
The F function contains the b variable, which is local
The N function has access to its private space, to the F( ) function's space
achieve it is a little different. F ( ) doesn't return a function, but instead it creates a new global 
function, inner ( )
Let's start by declaring a placeholder for the global function-to-be. This is optional, but it's 
Anew function, N( )
function will keep its access to the F ( ) function's scope, even though it's part of the global space
parameters behave like local variables to this function, but they are implicidy created; you don't 
need to use var for them You can create a function that returns another function, which in turn 
Notice how param++ was incremented after the function was defined and yet, when called
Let's run the function, assigning the result to the ar r array: 
variable: i. Why? The functions don't remember values, they only keep a link (reference) to the 
environment where the three functions were defined. So, all functions
another immediate function. In this function, i becomes the local value x
same result. The key is to use the middle function to localize the value of i at every iteration, as 
and getValue ( ) as global functions, while the secret variable remains local and inaccessible 
can wrap the complicated who's next logic into an easy-to-use next ( ) function. Then, you can 
initialization function that takes an input array and also defines a secret pointer, i
Calling the setup ( ) function with a data array will create the next ( ) function for you, as 
immediately invoked function expressions (IIFE), for example: 
1. Write a function that converts a hexadecimal color, for example blue (#0000FF)
• Built-in functions-parselnt ( ), parseFloat( )
A property of an object can point to a function, because functions are just data. Properties that 
point to functions are also called methods. In the following example, talk is a method: 
You know a method is just a property that happens to be a function, so you access methods in the 
In order to create an object using this function, you can use the new operator as follows: 
A benefit of using constructor functions is that they accept parameters, which can be used when 
If you call a function that is designed to be a constructor but you omit the new operator, it is not an 
was called like any other function, so the variable h contains the value that the function returns. 
The function does not return anything (there's no return function), so it actually returns 
outside a constructor function, for example in the global program code outside any function. 
As you had this keyword inside the function Hero, a global variable (a property of the global 
If you call the same constructor function using new, then a new object is returned
The built-in global functions you have seen in Chapter 3 . Functions, can also be invoked as 
As the constructor property contains a reference to a function, you might as well call this 
function to produce a new object. The following code is like saying," ""I don't care how object h2 "
He r o ( ) ). This is because you're not invoking this function, but just referring to it by name
In addition to using constructor functions and the new operator to create objects, you can also 
If you think about how objects are created inside constructor functions, you can imagine that a 
When you assign an object to a different variable or pass it to a function, you only pass a 
• Configurable(boolean): If this attribute is false, the property cannot be deleted or edited 
As the de structuring expression evaluates to the right-hand side of the expression, it's possible to 
function. This variable is an array-like object. Before ES6, the only way we could convert the 
You already know that functions are a special data type. However, it turns out that there's more to 
> function sum(a, b) { // function declaration 
> var sum = function (a, b) { // function expression 
> var sum = new Function (' a ' , ' b ' 
When using the Function ( ) constructor, you pass the parameter names first (as strings) and then 
evaluation suffers horn the same drawbacks as the eval( ) function, so defining functions using 
If you use the Function ( ) constructor to create functions that have lots of parameters, bear in 
Functions also have a length property, which contains the number of formal parameters the 
> function myfunc(a, b
When you create a function (even one without a body), you can verify that it automatically has a 
Function objects, being a descendant of the top parent object
tost ring () . When invoked on a function, the tost ring ( ) method returns the source code of the 
> function myfunc(a, b
If you try to peek into the source code of the built-in functions, you'll get the [native code ] 
The behavior of the function's tost ring ( ) is environment dependent, and it differs among 
We discussed ES6 arrow functions and the syntax in detail in the last chapter. However, an 
invoked. As the value of this is dynamically given based on the function invocation, it is 
lexical scope is a scope that surrounds the function scope, and the dynamic scope is the scope that 
subroutines or functions), methods (part of an object)
straightforward. They are Boolean, number
You already know a lot about Booleans from Chapter 2 . Primitive Data Types, Arrays
The Boolean ( ) function, when called as a normal function without new
also means that all Boolean objects created with new Boolean ( ) are also true, as they are 
Similar to Boolean ( ), the Number ( ) function can be used as: 
As functions are objects, they can also have properties. The Number ( ) function has constant built- 
Similar to Number ( ) and Boolean ( ), if you use the St ring ( ) function without new
function, and
The r andom ( ) function returns a number between 0 and l, so if you want a number between
accept a string parameter. The test ( ) method returns a Boolean (true when there's a match, 
4. Imagine the string ( ) constructor didn't exist. Create a constructor function, MyString ( )
• Functions are also objects, and they have properties (such as length and prototype) and 
corresponding constructor functions-Number ( ), String( )
Other built-in constructor functions you're now familiar with include Object(),Array()
Function( ), Date( )
